job_id	company_id	job_title_short	job_title	job_location	job_via	job_schedule_type	job_work_from_home	search_location	job_posted_date	job_no_degree_mention	job_health_insurance	job_country	salary_rate	salary_year_avg	salary_hour_avg
0	0	Machine Learning Engineer	Machine Learning Engineer	"  Argentina   "	via Ai-Jobs.net	Full-time	0	Argentina	2023-06-17 00:00:00	0	0	Argentina	year	101029	
1	1	Data Engineer	Data Center Engineer	"  Sydney NSW, Australia   "	via LinkedIn	Full-time	0	Australia	2023-04-27 00:00:00	0	0	Australia	year	82500	
2	2	Data Analyst	Business Data Analyst	"  Belgium   "	via Ai-Jobs.net	Full-time	0	Belgium	2023-11-09 00:00:00	0	0	Belgium	year	54988	
3	3	Data Scientist	Data Scientist	"  Zaventem, Belgium   "	via Ai-Jobs.net	Full-time	0	Belgium	2023-07-22 00:00:00	0	0	Belgium	year	157500	
4	4	Data Scientist	Data Scientist Job at Belgium	" Anywhere "	via The Elite Job	Full-time and Part-time	1	Belgium	2023-12-22 00:00:00	0	0	Belgium	hour		25
5	5	Data Scientist	Data Entry Specialist (Part-Time, Weekend, Remote)	" Anywhere "	via The Elite Job	Full-time and Part-time	1	Brazil	2023-12-27 00:00:00	1	0	Brazil	hour		25
6	6	Data Scientist	Associate Analytics Engineer	Sofia, Bulgaria	via Ai-Jobs.net	Full-time	0	Bulgaria	2023-03-14 00:00:00	0	0	Bulgaria	year	139216	
7	7	Senior Data Engineer	Senior Data Engineer	"  Bulgaria   "	via Ai-Jobs.net	Full-time	0	Bulgaria	2023-10-07 00:00:00	1	0	Bulgaria	year	155500	
8	8	Data Scientist	(Intern) Enterprise Analytics Office Data Science Internship - Now...	"  San Jose, CA   "	via Snagajob	Full-time, Part-time, and Internship	0	California, United States	2023-09-16 00:00:00	0	0	United States	hour		78.54499816894531
9	9	Data Engineer	Azure Data Engineer-powerBI - Contract to Hire	" Anywhere "	via Upwork	Contractor and Temp work	1	California, United States	2023-11-11 00:00:00	1	0	United States	hour		15
10	10	Data Analyst	BOM & Data Analyst (Torrance, CA)	Torrance, CA	via ZipRecruiter	Full-time	0	California, United States	2023-04-05 00:00:00	1	1	United States	year	78390	
11	11	Data Engineer	Big Data Engineer (Java)	" Anywhere "	via Dice	Contractor	1	California, United States	2023-11-23 00:00:00	1	0	United States	hour		62.5
12	12	Data Analyst	Business Data Analyst	"  Vernon, CA   "	via Idealist	Full-time	0	California, United States	2023-09-07 00:00:00	0	1	United States	hour		36
13	13	Business Analyst	Business Intelligence Analyst	"  Mountain View, CA   "	via LinkedIn	Full-time	0	California, United States	2023-08-23 00:00:00	1	0	United States	hour		72
14	14	Cloud Engineer	Cloud Data Engineer II - Enterprise Analytics Data Products ...	"  Hartford, CT   "	via Snagajob	Full-time	0	California, United States	2023-08-18 00:00:00	0	1	United States	hour		48.400001525878906
15	15	Data Analyst	Data Analyst	"  Sacramento, CA   "	via Snagajob	Full-time and Part-time	0	California, United States	2023-09-11 00:00:00	0	0	United States	hour		24.969999313354492
16	16	Data Analyst	Data Analyst	"  Las Vegas, NV   "	via LinkedIn	Full-time	0	California, United States	2023-04-19 00:00:00	0	0	United States	year	55000	
