ad_id,ad_name,long_version_video_id,short_version_video_id
0,chats-conditionate,1462,137
1,isomerizing-louma,860,666
2,tipcat-preorder,1597,7
3,incipient-mumpishly,668,579
4,xylorimbas-drosophilas,1432,1541
5,disloyalties-modulates,1397,1421
6,scoreboards-preselections,1271,962
7,tiptop-stummel,554,1543
8,also-subovate,987,923
9,stimy-cathodically,1145,1770
10,basher-jarping,971,1249
11,nonresident-scrofulously,1891,285
12,reembark-avoidance,976,1160
13,electrophysiologically-toothless,1097,127
14,salmagundi-excommunications,440,470
15,elasticness-bandager,1423,1853
16,carboxylases-faint,386,1976
17,redshirted-deflexional,613,28
18,tarpon-hamartiology,490,220
19,praetorships-buggering,546,1143
20,lurch-galivant,370,1935
21,deflowering-insincerities,1542,1340
22,bibliothecae-blackjack,1363,1982
23,prioritises-macromolecular,62,1467
24,moleskin-depuratives,1178,1851
25,liquidating-set,159,1826
26,orchestraters-septentrional,1317,1557
27,retimed-stelleridan,834,1473
28,accended-marooned,1102,1025
29,alexine-dapperer,1559,1711
30,nationalisms-anecdotist,1142,1594
31,bichrome-confiseurs,1523,1398
32,italicisation-drinkablenesses,993,600
33,diplozoic-pellack,1560,193
34,disinvest-branders,639,1195
35,flashlamps-oligarchically,711,1094
36,eyeshadows-disentrail,1149,1829
37,multitudes-bedticks,771,1805
38,counterarguments-bagpiping,61,384
39,inundated-gutsers,902,842
40,manoscopy-naifer,83,1454
41,cantharidic-misfires,1802,857
42,supplicatory-dicrotism,27,553
43,iconolater-numerate,847,413
44,librations-nichering,1726,1977
45,fumarolic-manyfold,509,1459
46,merceries-pyranoside,25,1035
47,convexity-pinchbugs,1362,515
48,mollycoddles-gullying,1287,1211
49,faineances-panpsychists,219,652
50,howling-oeuvre,549,1426
51,weightlessness-underestimations,1894,701
52,microbiological-singing,618,392
53,medics-funner,70,1203
54,finaliser-monohydric,368,1579
55,anopsia-sentimentalism,888,1003
56,voltaic-interpolates,599,1214
57,beadiest-chorusmasters,1703,1168
58,hules-belleters,1722,1073
59,suppressed-gillnets,149,12
60,tsardom-iodoforms,1042,763
