platform_id,video_id,watch_count,total_time_watched,price_per_watch
162,1069,1496,50864,0.39
3,1194,543117,29328318,0.33
162,1617,1502,70594,0.32
160,1895,2001,112056,0.46
9,942,780732,43720992,0.32
50,693,683196,20495880,0.21
34,1003,798080,11173120,0.18
158,663,1503,87174,0.19
161,1550,1503,45090,0.48
160,6,1997,31952,0.44
158,728,1498,35952,0.15
160,1852,1997,47928,0.43
59,513,249957,2249613,0.14
114,1049,856547,25696410,0.18
43,1340,154388,3550924,0.15
158,1555,1498,80892,0.33
150,1545,112935,3162180,0.32
158,1689,1498,44940,0.46
17,1478,498247,14947410,0.17
159,449,1511,69506,0.39
162,1636,1497,28443,0.33
66,127,844192,11818688,0.34
71,770,855608,29946280,0.37
49,1804,797375,46247750,0.17
158,68,1500,85500,0.16
146,253,751742,3758710,0.35
84,89,660306,33015300,0.12
114,153,179018,7339738,0.3
2,242,75345,2561730,0.25
89,1041,630432,18912960,0.15
160,1450,2002,30030,0.21
38,1461,135434,3521284,0.26
159,1923,1506,79818,0.38
162,249,1504,7520,0.4
83,1263,823923,9887076,0.48
55,153,36413,1492933,0.35
158,87,1503,54108,0.22
143,299,366298,17582304,0.46
160,1511,2003,42063,0.4
138,1582,168818,10129080,0.25
158,280,1498,7490,0.43
89,682,15055,90330,0.45
160,347,2002,16016,0.49
159,390,1512,19656,0.5
160,1415,2000,76000,0.41
155,1668,216089,1080445,0.32
21,910,14094,732888,0.46
136,1100,206900,8896700,0.3
160,1778,2003,44066,0.43
55,211,737910,16234020,0.15
158,1526,1499,44970,0.12
71,1831,594649,14866225,0.38
104,1205,338756,5420096,0.3
158,1281,1497,65868,0.46
160,1790,1999,51974,0.2
162,1386,1508,34684,0.3
160,293,1999,53973,0.32
162,890,1500,13500,0.26
159,1528,1510,19630,0.3
100,1162,636114,15902850,0.5
18,1052,425422,25099898,0.3
160,231,1998,13986,0.44
79,1698,640301,38418060,0.42
160,1909,2003,54081,0.33
162,1196,1497,41916,0.11
161,606,1497,37425,0.41
43,1050,624118,25588838,0.12
139,737,723404,4340424,0.12
60,1562,277830,13335840,0.12
161,1674,1497,35928,0.35
22,1708,837873,25136190,0.16
57,1054,331878,1659390,0.21
158,507,1499,76449,0.26
161,1655,1503,61623,0.2
158,113,1501,39026,0.12
147,938,185385,5005395,0.13
135,125,397069,9926725,0.18
64,1378,912938,52037466,0.16
121,118,782601,46956060,0.17
26,1349,538770,13469250,0.36
33,1865,464284,3249988,0.34
159,739,1505,43645,0.23
44,1325,947072,52088960,0.47
130,297,689365,19302220,0.35
162,1004,1498,88382,0.47
125,859,485313,25236276,0.24
162,1737,1498,65912,0.17
132,721,801243,18428589,0.34
110,1971,187975,3383550,0.44
73,1546,499776,10995072,0.18
50,172,945235,19849935,0.48
114,1302,903288,35228232,0.47
160,664,2006,58174,0.46
135,257,889834,22245850,0.42
5,956,458361,7792137,0.13
105,421,475315,18061970,0.35
117,1849,940129,28203870,0.3
135,743,830027,39841296,0.39
158,1520,1497,41916,0.38
140,622,809865,19436760,0.39
143,1602,42829,985067,0.21
159,921,1515,78780,0.24
111,701,979552,13713728,0.38
23,890,688082,6192738,0.21
158,653,1502,84112,0.14
60,1637,466645,17265865,0.47
161,57,1503,66132,0.33
20,915,95824,3737136,0.35
151,1320,888611,51539438,0.2
162,1027,1504,79712,0.34
33,1417,359968,8639232,0.35
161,1765,1500,45000,0.43
57,956,737864,12543688,0.48
99,1715,195071,9558479,0.45
82,1293,702142,34404958,0.43
117,1642,484773,9695460,0.41
159,1208,1508,22620,0.25
150,1248,930713,15822121,0.26
160,292,2005,66165,0.14
161,912,1497,43413,0.43
159,1609,1512,21168,0.2
161,699,1506,70782,0.15
159,396,1512,9072,0.33
74,1696,539247,16177410,0.43
159,523,1506,43674,0.2
159,1214,1514,10598,0.28
158,1918,1498,38948,0.38
20,429,44438,1733082,0.27
77,466,782076,29718888,0.28
150,1991,589792,23001888,0.31
90,1069,35894,1220396,0.4
159,1365,1508,43732,0.44
74,340,604006,15100150,0.17
160,1182,2001,46023,0.23
159,1709,1512,12096,0.27
8,159,806311,31446129,0.42
158,582,1503,34569,0.25
118,382,952558,16193486,0.28
45,1996,249880,13243640,0.31
161,1022,1503,31563,0.34
29,14,748942,30706622,0.17
133,1508,822109,26307488,0.15
161,863,1502,21028,0.43
103,300,630137,10712329,0.47
30,214,509461,3056766,0.4
162,387,1502,21028,0.28
77,413,54289,380023,0.13
136,390,936940,12180220,0.43
162,331,1499,23984,0.35
7,234,555922,9450674,0.15
158,1843,1500,81000,0.45
156,260,847221,20333304,0.12
49,1945,85684,428420,0.41
125,928,400777,5210101,0.26
162,702,1498,34454,0.35
161,1059,1504,73696,0.47
114,134,932653,36373467,0.16
161,93,1501,90060,0.27
146,1624,498466,25421766,0.26
136,817,769182,7691820,0.41
161,981,1503,39078,0.22
76,1440,855140,23943920,0.44
121,1077,616316,30815800,0.4
55,1239,324304,16215200,0.3
66,251,463702,11592550,0.46
127,1138,645044,16771144,0.3
32,1130,568122,19316148,0.21
161,1234,1497,50898,0.37
162,466,1503,57114,0.13
125,271,88689,4168383,0.33
160,271,2005,94235,0.25
15,464,967973,27103244,0.32
148,1640,271497,16018323,0.35
95,239,317019,5389323,0.26
162,1762,1500,21000,0.29
5,1041,546906,16407180,0.27
158,1398,1496,16456,0.49
140,1027,653651,34643503,0.49
160,1546,2001,44022,0.35
31,1844,878910,39550950,0.3
11,322,34934,593878,0.39
5,847,648310,25932400,0.4
87,662,847624,22038224,0.32
159,230,1507,46717,0.21
162,610,1500,54000,0.16
50,650,715755,15746610,0.1
43,1757,998368,30949408,0.33
108,1279,552290,9941220,0.21
158,874,1496,37400,0.3
12,256,153303,766515,0.4
161,1590,1498,43442,0.44
68,1110,309211,8348697,0.39
21,1417,403891,9693384,0.49
86,1407,3272,124336,0.38
5,214,512794,3076764,0.43
94,603,556107,3892749,0.19
161,1086,1500,43500,0.15
147,1548,676921,17599946,0.4
161,1260,1503,19539,0.18
103,753,648477,36963189,0.26
93,882,308194,9245820,0.19
7,114,574153,19521202,0.47
18,664,263480,7640920,0.23
130,1547,572596,9161536,0.25
136,1996,327598,17362694,0.11
159,421,1506,57228,0.36
162,1832,1500,90000,0.27
86,1352,243976,6831328,0.16
162,1496,1499,58461,0.46
158,114,1496,50864,0.3
158,1482,1505,12040,0.25
55,163,915636,21059628,0.17
159,1664,1513,39338,0.42
123,1167,186495,2424435,0.3
158,1151,1502,40554,0.39
0,1446,164311,9858660,0.21
99,1973,780506,3902530,0.48
118,1013,825503,16510060,0.27
44,1896,660954,17184804,0.48
29,672,789674,16583154,0.47
159,1513,1503,72144,0.13
47,1815,292783,2635047,0.46
153,111,522742,25091616,0.19
81,302,513111,13853997,0.19
160,1362,2002,72072,0.42
27,1496,687665,26818935,0.16
12,1778,91782,2019204,0.44
161,476,1500,16500,0.14
128,118,39294,2357640,0.42
153,49,975359,50718668,0.24
14,1759,51608,1548240,0.16
126,307,615486,11694234,0.41
23,142,887755,26632650,0.5
11,1282,467645,9352900,0.49
143,1166,793809,11113326,0.49
52,96,317171,4757565,0.36
71,1041,662018,19860540,0.23
158,1707,1504,43616,0.24
24,921,155317,8076484,0.35
30,164,869127,22597302,0.16
162,474,1500,7500,0.14
110,624,103261,826088,0.29
45,701,585876,8202264,0.45
158,1550,1499,44970,0.47
65,81,789583,15002077,0.12
124,1789,127182,6867828,0.27
105,933,402472,9659328,0.46
160,1310,2000,22000,0.39
162,1326,1505,54180,0.29
158,657,1493,61213,0.37
160,1359,2003,104156,0.18
5,248,942446,11309352,0.3
162,1700,1500,39000,0.33
81,764,355826,10674780,0.25
118,703,332378,9306584,0.17
51,490,32859,1741527,0.27
161,1340,1499,34477,0.5
136,525,547957,14794839,0.45
162,996,1502,54072,0.37
159,1901,1512,43848,0.34
160,643,1999,55972,0.11
161,1380,1497,44910,0.41
27,838,49457,1582624,0.26
158,430,1502,37550,0.49
158,1985,1504,76704,0.22
159,357,1507,85899,0.31
