id,instance_name,active_time_sec,boot_time_sec,get_requests,post_requests,traffic_in_mb,traffic_out_mb,average_response_time_ms
0,inst-000,81979,137,10319,1513,12114,90783,143
1,inst-001,74149,226,16380,8595,10531,39717,216
2,inst-002,77567,435,11498,1376,7142,126691,139
3,inst-003,69196,79,16906,10808,8640,112523,254
4,inst-004,84008,276,10735,8777,11666,164734,103
5,inst-005,82853,202,4396,8519,3092,127538,135
6,inst-006,79665,274,9285,6376,14466,61285,145
7,inst-007,82379,92,1898,7479,13358,42606,137
8,inst-008,85797,325,6263,12276,13192,42805,165
9,inst-009,81598,248,12720,12693,20243,99736,78
10,inst-010,78303,142,7434,13784,20132,17697,136
11,inst-011,70065,1260,15587,13746,8213,143933,140
12,inst-012,77764,284,10072,6732,18103,97176,192
13,inst-013,72360,199,8535,11416,11831,101066,145
14,inst-014,77052,490,20404,10460,13104,131183,170
15,inst-015,75745,359,23253,15533,5735,132615,157
16,inst-016,85936,323,16410,6159,11851,101313,98
17,inst-017,74746,181,8630,12585,18856,134065,80
18,inst-018,81849,142,2740,10837,6808,21057,99
19,inst-019,81913,242,5645,10331,10149,177645,111
20,inst-020,80395,209,9667,12916,14928,0,120
21,inst-021,73839,5,8809,1344,9713,38653,215
22,inst-022,82971,151,13590,13524,6400,4587,289
23,inst-023,69670,261,12722,9540,18791,128070,138
24,inst-024,77688,189,12556,12836,4037,5294,198
25,inst-025,76232,297,10176,7444,10688,76665,184
26,inst-026,69957,115,7534,13110,20512,127907,173
27,inst-027,73649,146,5341,13099,10254,63798,127
28,inst-028,75740,10,9018,7139,16363,41614,99
29,inst-029,72829,132,17124,15353,13605,101014,210
30,inst-030,83972,156,17898,13576,12063,200749,259
31,inst-031,78888,165,7676,11864,5405,102721,192
32,inst-032,70539,292,17296,8139,15279,89550,174
33,inst-033,75086,157,11879,12428,18033,174875,117
34,inst-034,72892,118,10489,9419,17082,113222,175
35,inst-035,10903,2508,17908,8086,8536,165530,139
36,inst-036,66047,162,21111,10081,5720,127583,70
37,inst-037,54166,290,5780,15036,10858,32814,166
38,inst-038,77483,87,11029,9194,13557,107775,152
39,inst-039,30318,378,3291,10835,9443,0,180
40,inst-040,76502,265,11892,8533,2773,114157,140
41,inst-041,3163,72,22315,10265,13070,80064,179
42,inst-042,80032,345,10028,13756,0,161768,51
43,inst-043,77686,227,8484,0,12323,73491,165
44,inst-044,74848,209,8327,10496,10314,131717,82
45,inst-045,77859,153,9937,9173,10582,115423,153
46,inst-046,55026,5,12405,12635,9169,73531,120
47,inst-047,84849,366,17965,7461,9853,118840,149
48,inst-048,84670,246,6213,6082,12207,38555,170
49,inst-049,82685,162,11060,24021,16025,61250,127
50,inst-050,29997,181,1845,6740,13764,0,147
51,inst-051,1325,231,12535,7508,13493,95738,159
52,inst-052,83331,250,16320,11039,14238,91633,123
53,inst-053,75705,72,8995,15732,8434,190012,91
54,inst-054,72604,5,4639,5452,8994,161086,161
55,inst-055,14737,381,11877,14623,9311,117393,129
56,inst-056,80148,5,12378,9231,14607,132222,124
57,inst-057,8574,135,11255,15667,13198,70198,201
58,inst-058,74198,5,16776,3901,8887,135775,131
59,inst-059,78979,249,2892,15012,15873,22112,182
60,inst-060,17419,5,6898,14998,13606,59279,59
