date,region,beverages_units,food_units,electronics_units,clothes_units,tools_units
2020-06-01,SIN51,143,105,46,35,75
-,DUB53,23,55,14,63,61
-,IAD77,60,117,68,16,102
-,PDX79,89,74,129,48,173
2020-06-02,SIN51,217,25,145,3,160
-,DUB53,26,95,70,72,1
-,IAD77,83,53,102,69,140
-,PDX79,170,195,115,129,67
2020-06-03,SIN51,31,165,145,138,85
-,DUB53,121,59,50,22,162
-,IAD77,91,3,143,19,18
-,PDX79,125,115,15,121,1
2020-06-04,SIN51,155,9,170,64,121
-,DUB53,47,8,271,51,130
-,IAD77,83,37,51,4,37
-,PDX79,68,72,14,33,81
2020-06-05,SIN51,88,43,52,104,3
-,DUB53,94,136,84,12,2
-,IAD77,1,32,85,90,150
-,PDX79,71,139,20,224,66
2020-06-06,SIN51,102,30,126,79,119
-,DUB53,173,130,60,133,98
-,IAD77,62,75,32,72,14
-,PDX79,32,21,81,130,10
2020-06-07,SIN51,18,27,65,60,36
-,DUB53,216,182,12,17,148
-,IAD77,157,95,86,53,56
-,PDX79,9,13,63,38,82
2020-06-08,SIN51,76,97,71,25,71
-,DUB53,189,71,71,133,59
-,IAD77,41,6,2,68,58
-,PDX79,134,31,83,150,94
2020-06-09,SIN51,26,91,115,96,13
-,DUB53,58,104,5,64,32
-,IAD77,37,97,32,71,30
-,PDX79,9,46,57,75,31
2020-06-10,SIN51,162,25,199,27,1
-,DUB53,59,61,60,59,13
-,IAD77,8,121,89,0,42
-,PDX79,44,29,146,26,78
2020-06-11,SIN51,164,14,51,62,30
-,DUB53,161,144,0,11,139
-,IAD77,163,3,27,170,56
-,PDX79,57,70,18,47,85
2020-06-12,SIN51,103,116,59,239,165
-,DUB53,53,93,296,9,12
-,IAD77,27,188,39,127,35
-,PDX79,109,68,33,133,117
2020-06-13,SIN51,238,73,142,3,164
-,DUB53,44,228,16,73,236
-,IAD77,81,39,142,55,223
-,PDX79,124,12,61,13,32
2020-06-14,SIN51,22,110,18,87,85
-,DUB53,148,3,26,85,18
-,IAD77,75,75,136,119,4
-,PDX79,57,58,99,54,144
2020-06-15,SIN51,9,223,129,147,93
-,DUB53,219,12,100,156,78
-,IAD77,50,33,120,183,88
-,PDX79,192,108,103,119,125
2020-06-16,SIN51,228,69,56,88,84
-,DUB53,69,23,13,212,68
-,IAD77,23,81,43,78,87
-,PDX79,104,113,64,74,1
2020-06-17,SIN51,71,133,12,84,80
-,DUB53,61,178,69,12,169
-,IAD77,62,16,45,162,4
-,PDX79,42,102,242,167,198
2020-06-18,SIN51,73,88,166,81,106
-,DUB53,46,102,135,25,166
-,IAD77,54,7,204,67,27
-,PDX79,33,108,176,86,62
2020-06-19,SIN51,21,75,20,18,57
-,DUB53,136,10,106,22,101
-,IAD77,153,103,29,219,110
-,PDX79,62,138,245,65,3
2020-06-20,SIN51,179,256,53,212,236
-,DUB53,174,17,228,123,1
-,IAD77,12,117,68,151,43
-,PDX79,21,49,39,207,181
2020-06-21,SIN51,19,95,47,52,73
-,DUB53,120,152,189,105,75
-,IAD77,24,60,37,130,70
-,PDX79,29,93,24,172,90
2020-06-22,SIN51,54,20,165,31,29
-,DUB53,79,18,70,72,80
-,IAD77,115,18,56,113,77
-,PDX79,38,218,134,4,166
2020-06-23,SIN51,26,125,111,126,71
-,DUB53,200,62,99,87,35
-,IAD77,14,7,12,17,107
-,PDX79,12,199,40,57,12
2020-06-24,SIN51,60,32,62,5,188
-,DUB53,57,275,16,33,74
-,IAD77,130,63,15,24,49
-,PDX79,43,87,44,8,116
2020-06-25,SIN51,187,54,68,35,147
-,DUB53,66,200,74,0,95
-,IAD77,50,23,171,148,81
-,PDX79,96,76,147,172,111
2020-06-26,SIN51,33,45,117,6,42
-,DUB53,54,135,81,5,26
-,IAD77,57,107,80,147,30
-,PDX79,151,210,32,123,104
2020-06-27,SIN51,151,76,84,130,95
-,DUB53,1,21,96,76,170
-,IAD77,34,10,107,51,44
-,PDX79,84,8,40,31,6
2020-06-28,SIN51,135,54,3,161,208
-,DUB53,13,18,5,28,70
-,IAD77,27,101,88,134,110
-,PDX79,6,39,68,62,139
2020-06-29,SIN51,36,50,114,72,383
-,DUB53,11,49,12,140,70
-,IAD77,92,26,135,185,3
-,PDX79,69,46,81,244,0
2020-06-30,SIN51,266,57,10,40,76
-,DUB53,57,127,202,50,75
-,IAD77,25,120,34,92,95
-,PDX79,244,30,30,107,2
