video_id,path,duration
2000,/videos/2020-02-03/barters-unsteadies.mp4,30
2001,/root/bucket2/halogenation-dandyfunks.mp4,22
2002,/media/hazarding-undersize.mp4,17
2003,/videos/2020-02-01/semilethal-vidimuses.mp4,24
2004,/root/bucket1/axoplasms-daman.mp4,16
2005,/root/bucket4/heaths-platinised.mp4,52
2006,/root/bucket1/oanshagh-hindquarters.mp4,8
2007,/root/bucket4/ecoterrorism-doggedness.mp4,56
2008,/media/dull-rigling.mp4,56
2009,/videos/2020-02-03/carboyed-microcyte.mp4,19
2010,/videos/2020-02-01/chinwag-defrags.mp4,50
2011,/media/italicisation-drinkablenesses.mp4,8
2012,/root/bucket3/faineances-panpsychists.mp4,17
2013,/videos/2020-02-03/whimpering-zombified.mp4,9
2014,/videos/2020-02-02/hemitropous-semiofficially.mp4,11
2015,/root/bucket3/dalliances-orgastic.mp4,48
2016,/root/bucket1/panharmonicon-emulatively.mp4,18
2017,/root/bucket5/abundance-plottered.mp4,17
2018,/videos/2020-02-02/insouled-countermeasures.mp4,37
2019,/videos/2020-02-04/coltishnesses-compearances.mp4,50
2020,/videos/2020-02-02/dionysian-shrimping.mp4,26
2021,/root/bucket1/leaking-sphygmus.mp4,45
2022,/videos/2020-02-02/punitory-otorhinolaryngologists.mp4,31
2023,/media/incognitas-asepticise.mp4,33
2024,/root/bucket1/depopulating-graips.mp4,53
2025,/root/bucket4/tretinoins-fisheries.mp4,41
2026,/root/bucket1/flashlamps-oligarchically.mp4,19
2027,/root/bucket5/enmeshments-rogued.mp4,37
2028,/root/bucket3/heterokont-publicans.mp4,35
2029,/root/bucket4/saltness-savates.mp4,12
2030,/videos/2020-02-04/strewments-calceolarias.mp4,31
2031,/videos/2020-02-04/unlet-neurulas.mp4,44
2032,/root/bucket1/nonathlete-overtreated.mp4,9
2033,/videos/2020-02-02/actualizes-sanest.mp4,21
2034,/root/bucket3/cagyness-ferine.mp4,34
2035,/root/bucket2/selenographer-improvidence.mp4,32
2036,/videos/2020-02-01/bibliothecae-blackjack.mp4,22
2037,/media/achromatization-saffian.mp4,48
2038,/root/bucket1/retrospecting-optics.mp4,28
2039,/root/bucket4/musicotherapies-decretive.mp4,43
2040,/videos/2020-02-04/dirigiste-protist.mp4,46
2041,/root/bucket1/dueled-antibioses.mp4,32
2042,/root/bucket2/scoreboards-preselections.mp4,50
2043,/media/insouled-countermeasures.mp4,28
2044,/videos/2020-02-01/prohibitiveness-peptids.mp4,22
2045,/videos/2020-02-01/checkroom-graffiting.mp4,38
2046,/videos/2020-02-02/refutal-heterocyclics.mp4,44
2047,/root/bucket3/inundated-gutsers.mp4,15
2048,/videos/2020-02-02/crankcase-nonequilibria.mp4,33
2049,/videos/2020-02-01/fixities-madtom.mp4,39
2050,/videos/2020-02-03/manchineel-yellings.mp4,56
2051,/root/bucket1/loggish-beelining.mp4,11
2052,/root/bucket5/emfs-swoffer.mp4,21
2053,/root/bucket5/convexity-pinchbugs.mp4,23
2054,/root/bucket2/otiosities-benzols.mp4,20
2055,/root/bucket1/perscrutations-kenosises.mp4,16
2056,/videos/2020-02-02/effulgence-deckers.mp4,36
2057,/root/bucket5/newsgroup-degenerateness.mp4,8
2058,/videos/2020-02-02/puce-nonhereditary.mp4,12
2059,/root/bucket1/overextravagant-guanazolos.mp4,58
2060,/videos/2020-02-03/redhanded-flustery.mp4,16
2061,/videos/2020-02-02/noncomputerized-hillocks.mp4,17
2062,/root/bucket2/imparting-urinometer.mp4,17
2063,/videos/2020-02-01/undepreciated-dankly.mp4,40
2064,/videos/2020-02-01/asquat-waybreads.mp4,7
2065,/videos/2020-02-03/secularizers-ophiomorph.mp4,48
2066,/videos/2020-02-02/weisenheimer-paronymic.mp4,16
2067,/root/bucket4/deejay-haemocyte.mp4,38
2068,/root/bucket2/silphium-outsoars.mp4,12
2069,/root/bucket3/gorilla-vicugnas.mp4,36
2070,/root/bucket3/unbury-buckers.mp4,32
2071,/videos/2020-02-04/geo-intergranular.mp4,33
2072,/root/bucket2/farfetchedness-overcapitalize.mp4,42
2073,/root/bucket1/butane-thatches.mp4,52
2074,/videos/2020-02-03/tarantaras-cid.mp4,6
2075,/root/bucket4/multitudes-bedticks.mp4,49
2076,/media/preheats-haole.mp4,54
2077,/videos/2020-02-03/vellicative-chemisorb.mp4,47
2078,/media/outdrinks-apoptoses.mp4,21
2079,/media/phycocyanin-meritocratic.mp4,48
2080,/videos/2020-02-04/employing-batsman.mp4,37
2081,/root/bucket3/oiks-expectedness.mp4,11
2082,/root/bucket2/horopter-pindown.mp4,30
2083,/media/cabezon-epileptically.mp4,28
2084,/videos/2020-02-03/paviors-devotionists.mp4,21
2085,/videos/2020-02-03/bilabiate-belittler.mp4,60
2086,/root/bucket2/monolatrist-bankrollers.mp4,21
2087,/videos/2020-02-03/unequitable-seismometer.mp4,27
2088,/videos/2020-02-01/panzerotto-frangipanni.mp4,36
2089,/videos/2020-02-04/cocks-sarrasins.mp4,54
2090,/root/bucket5/incommutability-chromed.mp4,7
2091,/root/bucket5/thiophens-disgruntling.mp4,58
2092,/videos/2020-02-04/screeted-conflates.mp4,6
2093,/media/eastlin-carbonadoing.mp4,13
2094,/root/bucket5/banal-likest.mp4,43
2095,/videos/2020-02-01/centrefolds-churr.mp4,41
2096,/videos/2020-02-03/sparoid-refinish.mp4,38
2097,/root/bucket1/mitched-micromanipulations.mp4,60
2098,/media/aerotactic-bypass.mp4,32
2099,/root/bucket1/squiresses-bigheadedness.mp4,36
137,/root/bucket1/chats-conditionate-short.mp4,23
1462,/videos/2020-02-03/chats-conditionate-long.mp4,50
666,/root/bucket5/isomerizing-louma-short.mp4,19
860,/root/bucket5/isomerizing-louma-long.mp4,25
7,/videos/2020-02-04/tipcat-preorder-short.mp4,12
1597,/root/bucket1/tipcat-preorder-long.mp4,48
579,/root/bucket3/incipient-mumpishly-short.mp4,17
668,/root/bucket1/incipient-mumpishly-long.mp4,33
1541,/root/bucket3/xylorimbas-drosophilas-short.mp4,17
1432,/root/bucket4/xylorimbas-drosophilas-long.mp4,54
1421,/media/disloyalties-modulates-short.mp4,7
1397,/root/bucket1/disloyalties-modulates-long.mp4,54
962,/root/bucket4/scoreboards-preselections-short.mp4,27
1271,/videos/2020-02-03/scoreboards-preselections-long.mp4,59
1543,/media/tiptop-stummel-short.mp4,10
554,/root/bucket2/tiptop-stummel-long.mp4,60
923,/root/bucket3/also-subovate-short.mp4,7
987,/videos/2020-02-04/also-subovate-long.mp4,37
1770,/root/bucket5/stimy-cathodically-short.mp4,16
1145,/root/bucket2/stimy-cathodically-long.mp4,43
1249,/root/bucket4/basher-jarping-short.mp4,7
971,/root/bucket3/basher-jarping-long.mp4,27
285,/videos/2020-02-01/nonresident-scrofulously-short.mp4,7
1891,/root/bucket4/nonresident-scrofulously-long.mp4,48
1160,/root/bucket5/reembark-avoidance-short.mp4,23
976,/root/bucket5/reembark-avoidance-long.mp4,51
127,/root/bucket4/electrophysiologically-toothless-short.mp4,14
1097,/root/bucket5/electrophysiologically-toothless-long.mp4,40
470,/videos/2020-02-03/salmagundi-excommunications-short.mp4,8
